Model Family,Model,N_Features,CV_MAE,CV_MAE_std,CV_RMSE,CV_RMSE_std,CV_R2,CV_R2_std,Holdout_MAE,Holdout_RMSE,Holdout_R2,CV_seconds,Fit_seconds,Predict_seconds,Feature Columns
Structural + SVI,Lasso Regression,12,0.01412990945324919,0.0002454304653787277,0.04147886547007859,0.001496832874047595,0.030225447007257378,0.0022420046470361314,0.014603833506416414,0.043711209446827014,0.027274809006580525,8.944501499998296,1.441106749996834,0.027411999999458203,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural-only core,Elastic Net,11,0.014122180455315167,0.00024267965340025183,0.041486514080676905,0.001497553867532565,0.02986877397036965,0.002170767371663173,0.014594348619673791,0.04371903820110385,0.026926344228517363,5.778201417000673,0.8532729170001403,0.038527583001268795,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
Structural + SVI,Elastic Net,12,0.01412027594037617,0.00024215338976538706,0.04148921218771388,0.0014962699386438121,0.02974012015821259,0.002187205296766022,0.014591813691568705,0.043719126324029314,0.0269224214439735,2.5004250409983797,0.6995465829968452,0.03247754100084421,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural + SVI + NDVI,Support Vector Regressor (LinearSVR),14,0.02017745779692317,0.000265477237925562,0.041893915654638146,0.0013842986043279251,0.01049209790991168,0.0060159720060977044,0.02062027075110401,0.04398257373431303,0.015159736561979331,18.211035000000265,6.347557750003034,0.006437915999413235,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural + SVI,Support Vector Regressor (LinearSVR),12,0.020591876731174536,0.0003046481339930197,0.04207601344366815,0.001390295965048672,0.0018714517461396,0.006047267894359451,0.02107049290260517,0.044185088307350406,0.006069605977404469,16.733913042000495,6.432347958001628,0.006485000001703156,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural-only core,Support Vector Regressor (LinearSVR),11,0.020606609005000456,0.00031184530371173045,0.042081044014811296,0.0013903368832023034,0.0016324977017560711,0.006059254616595617,0.021092755900872333,0.04418736666361,0.00596710144451662,16.02328879199922,6.057631125000626,0.005299333002767526,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
Structural-only core,Decision Tree,11,0.01307983704479429,0.0003819088530363652,0.04315703784166356,0.0017336096642940027,-0.05008208409308542,0.033812253807819805,0.013350595878465817,0.043881268877761295,0.019691267770825305,0.9718864580027002,0.18363058299655677,0.0063900839995767456,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
Structural + SVI,Decision Tree,12,0.013206510074676561,0.0005383669541382126,0.043164015806822074,0.0015576714893818287,-0.05082747548503878,0.036020907328576664,0.013295533208640761,0.043715528879269105,0.02708255496478129,0.8250593749980908,0.18918275000032736,0.005273958999168826,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural + SVI + NDVI,Decision Tree,14,0.013511149593389315,8.679352893965204e-05,0.04416614292922277,0.0007212698969109712,-0.10153318167110115,0.04414998635933031,0.013146802656194008,0.04456157272832456,-0.01094036406671961,1.225782541998342,0.3206386249985371,0.009757125000760425,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural + SVI + NDVI,MLPRegressor,14,0.022303851955256266,0.0006284466067871277,0.04761215101349316,0.0013625349393455585,-0.2785146255860513,0.017661932130202312,0.02147540045139089,0.04811952537317534,-0.1788191620468449,3.420185916002083,1.2416630410007201,0.014704959001392126,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural-only core,MLPRegressor,11,0.02265767962225733,0.0004886445461190529,0.047628241185901345,0.0010950748931481597,-0.28008962224691114,0.03425938951423393,0.020706494482244195,0.04785629053672537,-0.16595712687659736,4.09992066599807,10.591170540999883,0.02006795799752581,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
Structural + SVI,MLPRegressor,12,0.02528917156098831,0.0006602921589244162,0.051827032239869564,0.0016003659319114207,-0.5146143190119422,0.014351274581453065,0.025025010932417727,0.05174800277806944,-0.36330084014566344,4.030766832998779,16.20505187500021,0.024523750002117595,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural + SVI + NDVI,AdaBoost,14,0.036541657412197295,0.0006569290568981875,0.052066171304425896,0.0016188005378661437,-0.5289130961530851,0.033149828478882454,0.037997237717438896,0.05421793077696877,-0.4965471157000272,20.379906957998173,7.68261458300185,0.0937046660001215,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss"
Structural + SVI,AdaBoost,12,0.03780813650629115,0.0008558152988743914,0.05324905168509945,0.0014771691582368392,-0.5993011963515565,0.025612159355300326,0.03955857685418145,0.05516326188066305,-0.5491889627140474,19.216480833998503,6.913902875003259,0.09445899999991525,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI"
Structural-only core,AdaBoost,11,0.038281100550356335,0.0009518046170420943,0.05346880684332724,0.0014239825162022809,-0.6127595855689599,0.03294573694455984,0.03798812795311731,0.05332964033339422,-0.4479108622179464,16.19125787500161,5.934985959000187,0.09302449999813689,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989"
