structure_no,latitude,longitude,geometry,inside_shakemap,pga
29 0171L,37.60264166666667,-121.34903333333332,POINT (-121.34903333333332 37.60264166666667),True,0.0018944820621982217
29 0171R,37.60268611111111,-121.348525,POINT (-121.348525 37.60268611111111),True,0.0018944820621982217
29 0172L,37.70626666666667,-121.51366944444445,POINT (-121.51366944444445 37.70626666666667),True,0.0013871620176360011
29 0172R,37.70655,-121.51348055555556,POINT (-121.51348055555556 37.70655),True,0.0013871620176360011
29 0187L,37.61710277777778,-121.34305555555555,POINT (-121.34305555555555 37.61710277777778),True,0.001871153130196035
29 0187R,37.61673611111111,-121.34266388888888,POINT (-121.34266388888888 37.61673611111111),True,0.001871153130196035
29 0204L,37.637861111111114,-121.34826944444444,POINT (-121.34826944444444 37.637861111111114),True,0.0018470347858965397
29 0204R,37.63756388888889,-121.34826944444444,POINT (-121.34826944444444 37.63756388888889),True,0.0018470347858965397
29 0205G,37.63522777777778,-121.3421361111111,POINT (-121.3421361111111 37.63522777777778),True,0.0018470347858965397
29 0205L,37.635238888888885,-121.34318055555555,POINT (-121.34318055555555 37.635238888888885),True,0.0018470347858965397
29 0205R,37.63523055555555,-121.3427611111111,POINT (-121.3427611111111 37.63523055555555),True,0.0018470347858965397
29 0206L,37.63825277777778,-121.3871888888889,POINT (-121.3871888888889 37.63825277777778),True,0.0018043799791485071
29 0206R,37.637997222222225,-121.38686666666668,POINT (-121.38686666666668 37.637997222222225),True,0.0018043799791485071
29 0207,37.63831944444444,-121.38421111111111,POINT (-121.38421111111111 37.63831944444444),True,0.0018043799791485071
29 0227L,37.59384444444445,-121.33759722222221,POINT (-121.33759722222221 37.59384444444445),True,0.0019182373071089387
29 0227R,37.59406666666667,-121.33713888888889,POINT (-121.33713888888889 37.59406666666667),True,0.0019182373071089387
29 0242L,37.597005555555555,-121.34211666666666,POINT (-121.34211666666666 37.597005555555555),True,0.0018944820621982217
29 0243,37.62343888888889,-121.34332777777777,POINT (-121.34332777777777 37.62343888888889),True,0.001871153130196035
29 0244L,37.637458333333335,-121.34318888888889,POINT (-121.34318888888889 37.637458333333335),True,0.0018470347858965397
29 0244R,37.63746111111111,-121.34272222222222,POINT (-121.34272222222222 37.63746111111111),True,0.0018470347858965397
29 0259,37.66712777777778,-121.34361944444444,POINT (-121.34361944444444 37.66712777777778),True,0.0019841415341943502
29 0260L,37.681061111111106,-121.34338055555556,POINT (-121.34338055555556 37.681061111111106),True,0.0019746453035622835
29 0260R,37.68071111111111,-121.3429861111111,POINT (-121.3429861111111 37.68071111111111),True,0.0019746453035622835
29 0261,37.696302777777774,-121.3437111111111,POINT (-121.3437111111111 37.696302777777774),True,0.001944077666848898
29 0301L,37.593500000000006,-121.33868333333334,POINT (-121.33868333333334 37.593500000000006),True,0.0019182373071089387
29 0313G,37.63585277777778,-121.34427222222222,POINT (-121.34427222222222 37.63585277777778),True,0.0018470347858965397
29 0322,37.638127777777775,-121.36129444444444,POINT (-121.36129444444444 37.638127777777775),True,0.0018250218126922846
29 0339,37.63758055555555,-121.35296388888888,POINT (-121.35296388888888 37.63758055555555),True,0.0018470347858965397
29C0083L,37.72074444444445,-121.5337,POINT (-121.5337 37.72074444444445),True,0.0015624440275132656
29C0083R,37.72072222222222,-121.53350277777777,POINT (-121.53350277777777 37.72072222222222),True,0.0015624440275132656
29C0120,37.654558333333334,-121.39766111111112,POINT (-121.39766111111112 37.654558333333334),True,0.001761135645210743
29C0179,37.63979722222222,-121.4914111111111,POINT (-121.4914111111111 37.63979722222222),True,0.001478876918554306
