Model Family,Encoded Feature,Source Feature,Coefficient,Abs_Coefficient,Model
Structural-only core,cat__design_era_1989_1975-1989,design_era_1989,0.0017212486055942972,0.0017212486055942972,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB7,HWB_CLASS,-0.0016766465590708308,0.0016766465590708308,Ridge Regression
Structural-only core,num__cond,cond,0.0011938171056732542,0.0011938171056732542,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB11,HWB_CLASS,-0.0011042694472152414,0.0011042694472152414,Ridge Regression
Structural-only core,cat__HWB_CLASS_HWB12,HWB_CLASS,-0.0009803729782483347,0.0009803729782483347,Ridge Regression
Structural-only core,num__reconstructed_flag,reconstructed_flag,0.0007676153414546662,0.0007676153414546662,Ridge Regression
Structural-only core,num__age_years,age_years,0.0005497855425496645,0.0005497855425496645,Ridge Regression
Structural-only core,num__skew,skew,-0.0005016278387253982,0.0005016278387253982,Ridge Regression
Structural-only core,num__max_span_log1p,max_span_log1p,-0.0005000407312706918,0.0005000407312706918,Ridge Regression
Structural-only core,num__time_since_rehab,time_since_rehab,0.00041637944634321904,0.00041637944634321904,Ridge Regression
Structural-only core,cat__design_era_1989_Pre-1975,design_era_1989,0.000147665260737999,0.000147665260737999,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB2,HWB_CLASS,0.009518661943539059,0.009518661943539059,Elastic Net
Structural + SVI,num__deck_area_log1p,deck_area_log1p,0.0044517991089579765,0.0044517991089579765,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB1,HWB_CLASS,0.0043470551497888765,0.0043470551497888765,Elastic Net
Structural + SVI,num__operating_rating,operating_rating,0.0027216583093621306,0.0027216583093621306,Elastic Net
Structural + SVI,num__spans,spans,-0.0017101101487265414,0.0017101101487265414,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB4,HWB_CLASS,0.0014986218513309173,0.0014986218513309173,Elastic Net
Structural + SVI,cat__design_era_1989_1990+,design_era_1989,-0.0014878565286233765,0.0014878565286233765,Elastic Net
Structural + SVI,num__cond,cond,0.001212067804174338,0.001212067804174338,Elastic Net
Structural + SVI,num__age_years,age_years,0.0009136509579728817,0.0009136509579728817,Elastic Net
Structural + SVI,cat__design_era_1989_1975-1989,design_era_1989,0.00067299737151183,0.00067299737151183,Elastic Net
Structural + SVI,num__reconstructed_flag,reconstructed_flag,0.0005855239808886937,0.0005855239808886937,Elastic Net
Structural + SVI,num__skew,skew,-0.0004183446005138588,0.0004183446005138588,Elastic Net
Structural + SVI,num__SVI,SVI,0.0002243394233029169,0.0002243394233029169,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB5,HWB_CLASS,-0.00021356998058173228,0.00021356998058173228,Elastic Net
Structural + SVI,num__time_since_rehab,time_since_rehab,4.696277226619973e-05,4.696277226619973e-05,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB9,HWB_CLASS,-0.0,0.0,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB8,HWB_CLASS,-0.0,0.0,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB7,HWB_CLASS,0.0,0.0,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB6,HWB_CLASS,0.0,0.0,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB12,HWB_CLASS,0.0,0.0,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB3,HWB_CLASS,-0.0,0.0,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB28,HWB_CLASS,0.0,0.0,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB11,HWB_CLASS,-0.0,0.0,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB10,HWB_CLASS,-0.0,0.0,Elastic Net
Structural + SVI,num__max_span_log1p,max_span_log1p,-0.0,0.0,Elastic Net
Structural + SVI,cat__design_era_1989_Pre-1975,design_era_1989,0.0,0.0,Elastic Net
Structural + SVI,cat__HWB_CLASS_HWB2,HWB_CLASS,0.009911002033738157,0.009911002033738157,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB1,HWB_CLASS,0.0050826338506417875,0.0050826338506417875,Lasso Regression
Structural + SVI,num__deck_area_log1p,deck_area_log1p,0.004618113403375469,0.004618113403375469,Lasso Regression
Structural + SVI,num__operating_rating,operating_rating,0.002733543680578329,0.002733543680578329,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB4,HWB_CLASS,0.0022575755709326483,0.0022575755709326483,Lasso Regression
Structural + SVI,num__spans,spans,-0.0017496444206506951,0.0017496444206506951,Lasso Regression
Structural + SVI,cat__design_era_1989_1990+,design_era_1989,-0.0017066406971172723,0.0017066406971172723,Lasso Regression
Structural + SVI,num__cond,cond,0.0012181032722294737,0.0012181032722294737,Lasso Regression
Structural + SVI,num__age_years,age_years,0.0008781209586068244,0.0008781209586068244,Lasso Regression
Structural + SVI,cat__design_era_1989_1975-1989,design_era_1989,0.0007660968797205558,0.0007660968797205558,Lasso Regression
Structural + SVI,num__reconstructed_flag,reconstructed_flag,0.0006394459987266837,0.0006394459987266837,Lasso Regression
Structural + SVI,num__skew,skew,-0.0004333039120403408,0.0004333039120403408,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB5,HWB_CLASS,-0.0003882016466622408,0.0003882016466622408,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB8,HWB_CLASS,-0.00031731534544115515,0.00031731534544115515,Lasso Regression
Structural + SVI,num__SVI,SVI,0.00016439117267504986,0.00016439117267504986,Lasso Regression
Structural + SVI,num__time_since_rehab,time_since_rehab,8.174235865607621e-05,8.174235865607621e-05,Lasso Regression
Structural + SVI,num__max_span_log1p,max_span_log1p,-2.3543331415491745e-05,2.3543331415491745e-05,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB7,HWB_CLASS,0.0,0.0,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB9,HWB_CLASS,-0.0,0.0,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB12,HWB_CLASS,0.0,0.0,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB6,HWB_CLASS,0.0,0.0,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB3,HWB_CLASS,-0.0,0.0,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB28,HWB_CLASS,0.0,0.0,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB11,HWB_CLASS,-0.0,0.0,Lasso Regression
Structural + SVI,cat__HWB_CLASS_HWB10,HWB_CLASS,-0.0,0.0,Lasso Regression
Structural + SVI,cat__design_era_1989_Pre-1975,design_era_1989,-0.0,0.0,Lasso Regression
Structural + SVI,cat__design_era_1989_1990+,design_era_1989,-110410179662.20514,110410179662.20514,Linear Regression
Structural + SVI,cat__design_era_1989_Pre-1975,design_era_1989,-110410179662.20244,110410179662.20244,Linear Regression
Structural + SVI,cat__design_era_1989_1975-1989,design_era_1989,-110410179662.20003,110410179662.20003,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB9,HWB_CLASS,-12693715106.090591,12693715106.090591,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB5,HWB_CLASS,-12693715106.089882,12693715106.089882,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB10,HWB_CLASS,-12693715106.08974,12693715106.08974,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB3,HWB_CLASS,-12693715106.089697,12693715106.089697,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB8,HWB_CLASS,-12693715106.089539,12693715106.089539,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB6,HWB_CLASS,-12693715106.088612,12693715106.088612,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB7,HWB_CLASS,-12693715106.087076,12693715106.087076,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB12,HWB_CLASS,-12693715106.086931,12693715106.086931,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB11,HWB_CLASS,-12693715106.084883,12693715106.084883,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB4,HWB_CLASS,-12693715106.082237,12693715106.082237,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB1,HWB_CLASS,-12693715106.082127,12693715106.082127,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB28,HWB_CLASS,-12693715106.074965,12693715106.074965,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB2,HWB_CLASS,-12693715106.074732,12693715106.074732,Linear Regression
Structural + SVI,num__deck_area_log1p,deck_area_log1p,0.006830146032547859,0.006830146032547859,Linear Regression
Structural + SVI,num__operating_rating,operating_rating,0.0026203568691191737,0.0026203568691191737,Linear Regression
Structural + SVI,num__spans,spans,-0.002273264549069721,0.002273264549069721,Linear Regression
Structural + SVI,num__max_span_log1p,max_span_log1p,-0.0013243381769672139,0.0013243381769672139,Linear Regression
Structural + SVI,num__cond,cond,0.0009225762537727366,0.0009225762537727366,Linear Regression
Structural + SVI,num__SVI,SVI,-0.0006487166521372661,0.0006487166521372661,Linear Regression
Structural + SVI,num__age_years,age_years,0.0006375760223132878,0.0006375760223132878,Linear Regression
Structural + SVI,num__reconstructed_flag,reconstructed_flag,0.0005536872989716329,0.0005536872989716329,Linear Regression
Structural + SVI,num__time_since_rehab,time_since_rehab,0.0002535037738964715,0.0002535037738964715,Linear Regression
Structural + SVI,num__skew,skew,-0.00023467016936033395,0.00023467016936033395,Linear Regression
Structural + SVI,cat__HWB_CLASS_HWB28,HWB_CLASS,0.012769776840868368,0.012769776840868368,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB2,HWB_CLASS,0.01232605472713498,0.01232605472713498,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB1,HWB_CLASS,0.00729658320632058,0.00729658320632058,Support Vector Regressor (LinearSVR)
Structural + SVI,num__deck_area_log1p,deck_area_log1p,0.006735777453918526,0.006735777453918526,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__design_era_1989_1975-1989,design_era_1989,0.006347768075639243,0.006347768075639243,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB4,HWB_CLASS,0.005644240745239105,0.005644240745239105,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB9,HWB_CLASS,-0.00518123276487253,0.00518123276487253,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB3,HWB_CLASS,-0.005146316074692646,0.005146316074692646,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB5,HWB_CLASS,-0.004535019567935404,0.004535019567935404,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB10,HWB_CLASS,-0.004363234026709714,0.004363234026709714,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__design_era_1989_Pre-1975,design_era_1989,0.00417744636058392,0.00417744636058392,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB12,HWB_CLASS,-0.003224712144584339,0.003224712144584339,Support Vector Regressor (LinearSVR)
