Target Strategy,Model Family,Model,N_Features,CV_MAE_mean,CV_MAE_std,CV_RMSE_mean,CV_RMSE_std,CV_R2_mean,CV_R2_std,Holdout_MAE_mean,Holdout_RMSE_mean,Holdout_R2_mean,CV_seconds,Fit_seconds,Predict_seconds,Feature Columns,Holdout_MAE_MU_DS1_LINEAR,Holdout_RMSE_MU_DS1_LINEAR,Holdout_R2_MU_DS1_LINEAR,Holdout_MAE_MU_DS2_LINEAR,Holdout_RMSE_MU_DS2_LINEAR,Holdout_R2_MU_DS2_LINEAR,Holdout_MAE_MU_DS3_LINEAR,Holdout_RMSE_MU_DS3_LINEAR,Holdout_R2_MU_DS3_LINEAR,Holdout_MAE_MU_DS4_LINEAR,Holdout_RMSE_MU_DS4_LINEAR,Holdout_R2_MU_DS4_LINEAR,Holdout_MAE_BETA_SVI,Holdout_RMSE_BETA_SVI,Holdout_R2_BETA_SVI
Fragility parameters,Structural + SVI + NDVI,Gradient Boosting,14,0.008658117687311966,9.223100884646657e-05,0.01202474858281013,0.0001812884298307852,0.9704301434980152,0.0005270892225184658,0.00864067066036565,0.011022832331442736,0.9708355581782977,4.602748667006381,5.160049625003012,0.05308841698570177,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.007543442640001795,0.00962310759094206,0.9708355581782977,0.008914977665456604,0.011372763516567878,0.9708355581782977,0.010286512690911475,0.013122419442193728,0.9708355581782977,0.01371535025454864,0.017496559256258346,0.9708355581782975,0.002743070050909745,0.003499311851251674,0.9708355581782974
Fragility parameters,Structural + SVI,Gradient Boosting,12,0.008658117687311971,9.223100884646882e-05,0.01202474858281013,0.00018128842983078757,0.9704301434980152,0.0005270892225184658,0.008640670660365663,0.011022832331442746,0.9708355581782975,3.8647566250001546,4.385965333000058,0.025904374982928857,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.007543442640001786,0.009623107590942067,0.9708355581782976,0.008914977665456628,0.011372763516567883,0.9708355581782976,0.010286512690911498,0.013122419442193748,0.9708355581782976,0.013715350254548658,0.01749655925625835,0.9708355581782975,0.0027430700509097467,0.00349931185125168,0.9708355581782973
Fragility parameters,Structural + SVI,KNeighbors,12,0.01162545234822067,0.00033369685319379645,0.01757206582686191,0.0007308800233795371,0.9367253455443468,0.005439836633141535,0.007884132463430744,0.011996588338535332,0.9654551923534147,0.406783083017217,0.03718791701248847,0.1322744170029182,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.006882972785534772,0.010473212041578472,0.9654551923534146,0.008134422382904734,0.012377432412774551,0.9654551923534146,0.009385871980274674,0.01428165278397065,0.9654551923534146,0.012514495973699614,0.01904220371196082,0.9654551923534148,0.0025028991947399198,0.0038084407423921714,0.9654551923534146
Fragility parameters,Structural + SVI + NDVI,KNeighbors,14,0.013315698640885824,0.0002697108823592013,0.020005520922386215,0.0005295421072457332,0.9180833223312558,0.004478542086432161,0.009353250398421824,0.013992578211550435,0.9530037990382232,0.5019174170156475,0.05583762499736622,0.2555829999910202,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.008165536062114287,0.012215742883099602,0.9530037990382231,0.0096501789824987,0.014436787043663166,0.953003799038223,0.01113482190288311,0.016657831204226686,0.9530037990382233,0.014846429203844182,0.022210441605635598,0.9530037990382233,0.0029692858407688386,0.00444208832112712,0.9530037990382232
Fragility parameters,Structural Core,Random Forest,11,0.014322696141009297,0.0003748213060348704,0.023449980339386296,0.0009346905987883421,0.8873579307228147,0.009031162765098084,0.011058802616229912,0.018225593798003425,0.9202683705834872,2.122477541997796,0.7924202920112293,0.06461150001268834,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989",0.009654510220518182,0.015911232680796653,0.920268370583487,0.011409875715157817,0.018804184077305112,0.920268370583487,0.013165241209797545,0.021697135473813654,0.9202683705834868,0.017553654946396664,0.028929513965084763,0.9202683705834873,0.0035107309892793478,0.005785902793016955,0.9202683705834872
Fragility parameters,Structural Core,Decision Tree,11,0.013802944404993514,0.00044253389629367285,0.025490606239519997,0.000960909796192211,0.8669362382342016,0.009929359181809472,0.010876127824556747,0.020837352706142766,0.8957796920836774,0.16325762498308904,0.17458162497496232,0.008704957988811657,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989",0.009495032227787649,0.018191339664092886,0.8957796920836775,0.011221401723749056,0.02149885596665523,0.8957796920836772,0.012947771219710361,0.02480637226921758,0.8957796920836775,0.017263694959613895,0.033075163025623446,0.8957796920836775,0.003452738991922777,0.006615032605124689,0.8957796920836774
Fragility parameters,Structural Core,Extra Trees,11,0.019630252172028986,0.0008285246923228792,0.028235077774239326,0.0012112865300777957,0.8367091348078719,0.013540414709851189,0.01661051706304948,0.022999833689205187,0.8730254572932743,1.0273036250146106,0.33788387500680983,0.036350457987282425,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989",0.014501245055043195,0.020079219887401394,0.873025457293274,0.017137835065051038,0.023729987139656156,0.8730254572932741,0.019774425075058905,0.027380754391910893,0.873025457293275,0.026365900100078547,0.036507672522547906,0.8730254572932746,0.005273180020015717,0.007301534504509589,0.8730254572932742
Fragility parameters,Structural Core,HistGradientBoosting,11,0.016291252505439342,0.0004106280157050068,0.025545091115930795,0.0009816847417285857,0.8663603936544418,0.010162821854485702,0.0160800124132855,0.023271042159991876,0.8700132959132647,29.773830084013753,10.171974917000625,0.14027679100399837,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989",0.014038106073564456,0.020315989185191764,0.8700132959383304,0.016590488999180548,0.024009805405285307,0.8700132958884775,0.019142871920212957,0.027703621619372207,0.8700132959082862,0.02552382922829583,0.0369381621585768,0.8700132959124116,0.005104765845173706,0.007387632431533302,0.870013295918818
Fragility parameters,Structural Core,KNeighbors,11,0.021388104789238045,0.0004168135801498999,0.03172617525208074,0.0009443440379890233,0.7939591758272231,0.012351324856379745,0.01560395211584616,0.023654986217391323,0.8656886653303699,1.8434372500050813,0.07563383301021531,0.47021179099101573,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989",0.013622497878913278,0.020651178443754324,0.8656886653303701,0.016099315675079367,0.024405938160800583,0.8656886653303697,0.018576133471245457,0.028160697877846832,0.86568866533037,0.024768177961660552,0.0375475971704624,0.8656886653303704,0.004953635592332133,0.007509519434092494,0.8656886653303697
Fragility parameters,Structural Core,Gradient Boosting,11,0.02572843510090679,7.558481448231014e-05,0.035221800545292836,0.00034673310459394646,0.746231205085758,0.006164207023452385,0.02594818104500716,0.032390510759199256,0.7481726712102609,12.309600999986287,6.578281041001901,0.03435237499070354,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989",0.022653173928180812,0.02827743002787237,0.7481726712102608,0.026771932824213782,0.033418780942030955,0.7481726712102607,0.030890691720246697,0.03856013185618957,0.7481726712102614,0.041187588960328744,0.05141350914158616,0.7481726712102607,0.008237517792065736,0.010282701828317219,0.748172671210261
