Feature Set,Model,CV_MAE,CV_RMSE,CV_RMSLE,CV_R2,CV_MAE_std,CV_RMSE_std,CV_RMSLE_std,CV_R2_std,Holdout_MAE,Holdout_RMSE,Holdout_RMSLE,Holdout_R2,Holdout_MAE_Positive,Holdout_RMSE_Positive,Holdout_RMSLE_Positive,Holdout_R2_Positive
HAZUS Benchmark,Ridge,0.007009909925239905,0.017081566124271252,0.01493495007193049,0.8354817287585847,0.00017256340334208888,0.0005977354614752021,0.00039286785310245297,0.0035387338674304934,0.007195445397871704,0.0176671665476789,0.015320182482474997,0.8410947217789797,0.011026648625942034,0.021870556303900716,0.018965175466295864,0.8374648183443557
HAZUS Benchmark,Elastic Net,0.007060230079971884,0.01722605893348219,0.015047637859395899,0.8326940889687943,0.00018200322350538586,0.0006064001628455078,0.0004019500491309036,0.003372593901756801,0.007254373938332076,0.017842865820565556,0.015455459879651951,0.837918392271302,0.011116953572163756,0.02208805812174184,0.01913263819573917,0.8342159313387868
Structural + HAZUS Class,Extra Trees,0.012107685585454822,0.038232148709927,0.03359608309352257,0.17573303214846836,0.00013161603018800794,0.0011563626354449776,0.0008670895036611454,0.008694589969209581,0.012349811315956596,0.03934131149733557,0.03444006143650065,0.2120436059827998,0.01610461849200733,0.04767615437921489,0.041556390461554585,0.22762153632747495
Structural + SVI,Extra Trees,0.012474507580387319,0.03848956044851313,0.03380501791638971,0.1648158211910623,0.00017558556936908098,0.001302778671271789,0.0010121882314466008,0.005682020284343463,0.01261904297282269,0.03962314215152318,0.03464211903215894,0.20071375023732185,0.016448008515317927,0.04826151542815827,0.042038942412097303,0.20853879746981718
Structural + SVI + HAZUS Class,Extra Trees,0.01225468141673716,0.03851161684984217,0.03386161100940225,0.16366427860972985,0.0001512803502961272,0.001195420857304426,0.0009021176774123601,0.009885531719809167,0.012523245296855846,0.03979681053174629,0.03484261534987416,0.19369184612818258,0.016269894209968546,0.048204445287606944,0.04201545232008851,0.2104095259454618
Structural Core,Extra Trees,0.0124090384415368,0.03851843255491529,0.03381999707678748,0.16366045683526187,0.00019478827779091337,0.0013603749590842843,0.0010723686326347091,0.004808238200572082,0.012476064736073772,0.039286004974657916,0.03434370496918459,0.2142574872423344,0.016160356132159343,0.047677782255767756,0.04151413031910806,0.22756879053566892
Structural + HAZUS Class,Random Forest,0.012763107834951715,0.038777343792292106,0.03392329987290295,0.15229673419375112,0.00013778939777741285,0.0013377555617413025,0.0010411217644532371,0.008103658519024856,0.013032601979373797,0.040333473718745336,0.035111761695309746,0.17179896063812572,0.017108659368470638,0.049344738098166765,0.042822803795581434,0.17261161953996307
Structural Core,Random Forest,0.012859570723505775,0.03883490431469669,0.03398804620114628,0.14990699148816836,0.00014985979798732587,0.0014092758919740343,0.001111062382474226,0.005999925451213699,0.013199882014343023,0.04045821893687927,0.03525486719020202,0.16666804196943974,0.01720782009054967,0.049505751741599595,0.04300410653868275,0.16720321430938623
Structural + SVI + HAZUS Class,Random Forest,0.012889086296255915,0.0389251240569141,0.03406738268767623,0.1459167854264789,0.00017412268318700184,0.0014000856862968491,0.001101644819137839,0.007771882002805952,0.013217636204338612,0.040538166217128836,0.03531619845276695,0.1633713843305854,0.017311543688202275,0.049606281915333124,0.04308268051795522,0.16381749818751268
Structural + SVI,Random Forest,0.012958722091638578,0.039013579167650886,0.03415051902665089,0.14207405059934733,0.0001893856185435499,0.0014128162656904522,0.0011184084146810983,0.00428624559182603,0.013381282359218824,0.04068833317600382,0.03546850655627384,0.15716159825240528,0.01744028657132817,0.04977963806459299,0.043256269267920325,0.15796297089826294
Structural + HAZUS Class,HistGradientBoosting,0.013043749446855034,0.039504244201516936,0.03462069055710639,0.12047573295508147,0.00021360594903222256,0.0014997714807196655,0.0011791449089003114,0.0047086284402216025,0.01337003202554028,0.0410898297860021,0.03585426907582778,0.14044592974534087,0.017750170845429857,0.05039907806943738,0.04386713648839082,0.1368765713058968
Structural Core,HistGradientBoosting,0.01309316201826266,0.03953492950641335,0.03465370894315809,0.11890806500929452,0.00016230526281642426,0.0013721433919925484,0.0010754067500959748,0.002098384544580684,0.013491708569252197,0.041478520425851935,0.03619935301169794,0.12410705263695831,0.017821599136661696,0.05093637157796442,0.04435575714318542,0.11837533656465771
Structural + SVI + HAZUS Class,HistGradientBoosting,0.01305123069871563,0.03954337276718523,0.03467047861840994,0.11871157119759146,0.0002114604527141138,0.0015012156267189972,0.0011869673022070328,0.00722072426961661,0.013470079967001614,0.04124038439572723,0.03596127044962216,0.1341355162252872,0.017783428419694366,0.0506232067188575,0.044039237869277846,0.12918274669768226
Structural + SVI,HistGradientBoosting,0.013119445108283402,0.03959328368216154,0.034723217853425976,0.11624961276819572,0.0001488252999828435,0.0013428944043431016,0.0010626483362835852,0.0034867636539743386,0.013360801435837236,0.0411433326699672,0.03589847657568413,0.1382060293752616,0.017690336542613188,0.050498560532519,0.04395637837349593,0.13346577917301572
Structural + HAZUS Class,KNN Regressor,0.012982709851681477,0.04020619772370654,0.035307166818417134,0.08853256582000561,0.00014378720812226566,0.0012809069000225546,0.0009941729860855851,0.006868353134663987,0.01335699262869186,0.04179178598855454,0.03656745994242163,0.11082676947903647,0.017770157333277015,0.05118808195107167,0.044663437798410116,0.10964042363926096
Structural Core,KNN Regressor,0.013067317759505965,0.04021825189916156,0.03531396933326711,0.08806074613198756,0.0001513312165590143,0.0013221478269428606,0.0010387730254251245,0.004780943939796719,0.013458949414634047,0.042055358815049,0.036812978848806584,0.09957570978075891,0.01772691705797653,0.05153894304493716,0.044991959245136964,0.09739291808602324
Structural + SVI,KNN Regressor,0.013135233544911605,0.04033487996269853,0.0354290130736084,0.08265869701063307,0.0001812883441572939,0.0012666597318549602,0.0009815133333178291,0.007452464316904881,0.013514171963045246,0.041984860694158105,0.03675073611031995,0.10259197298411626,0.017877246406329053,0.051425923745319874,0.04488697360958448,0.10134721608173658
Structural + SVI + HAZUS Class,KNN Regressor,0.01309564185922466,0.04038074707161986,0.03547360179380205,0.08075261895407689,0.0001326787028306877,0.00137621379232174,0.0010818549542342608,0.004414219635722466,0.013395078039357699,0.041928584720274574,0.0366950345542438,0.1049961093034909,0.017780888559063398,0.05135157070119322,0.04481449854105255,0.10394393236314525
Structural + HAZUS Class,Gradient Boosting,0.013642961208047505,0.0407887205035699,0.035755457051844734,0.062292658502643795,0.00017099925213366358,0.001513155747949807,0.0012177678317477996,0.003928864436493326,0.014091701662835762,0.04295004148231632,0.037504416251357704,0.06085707306268928,0.018548271487419152,0.05282413793130272,0.04603904667885722,0.05181614201015872
Structural + SVI + HAZUS Class,Gradient Boosting,0.013692882495092535,0.040847111580479205,0.0358136788169194,0.05959420018072462,0.00015939057619927772,0.0015066579418658952,0.0012121829580525937,0.0032318074338140938,0.01413932976856467,0.0429556374021041,0.03751351420067712,0.0606123370547379,0.018589239113157283,0.052825073275340285,0.04604348405384985,0.05178256319544672
Structural Core,Gradient Boosting,0.013771909591869294,0.040939123371463305,0.03590272354685897,0.0553897843173515,0.00021531712968702327,0.001534309395078874,0.0012395381022171767,0.00446917377440855,0.014185898257143226,0.04314288398115003,0.03768881539151554,0.052404776381271834,0.01853807463363969,0.05306499553913802,0.04626949187556933,0.04314972696613795
Structural + SVI,Gradient Boosting,0.013775169734061848,0.040966016766925954,0.035925547196008066,0.05410549333532666,0.00019200209313266606,0.0015088997647167274,0.0012164859682204205,0.0036292120728631918,0.014195159993003288,0.04304370920980299,0.03759829212748067,0.05675634101777527,0.018560271391443464,0.05292289365919841,0.04613693351686822,0.04826753259398553
Structural + HAZUS Class,MLPRegressor,0.0153244226275294,0.04117149463957578,0.036334752672468745,0.04408229919896911,0.0008179706785007034,0.0012611698892166538,0.0009927224311105556,0.01427472296121591,0.014385928895817877,0.04272426089574648,0.03744587304277819,0.07070492908578141,0.019030232081406934,0.05224409476232373,0.0456443537786759,0.07252515806709503
Structural Core,MLPRegressor,0.014782845911176573,0.04121098973961557,0.03630021084290174,0.042803085430438904,0.0007908986126781368,0.0015427227171407936,0.0012557872029370296,0.0039996156211256646,0.014280125432813234,0.043031081635498104,0.03768077604835127,0.057309691669224505,0.018662962966120418,0.05261987213886672,0.04592923094441326,0.059135032990846326
Structural + SVI,MLPRegressor,0.015650398379076298,0.0413224118962578,0.03643775233347576,0.03707022865497874,0.000794596126050517,0.0012355989764999428,0.0009591527732291192,0.010920408500976177,0.016290814581054375,0.04337136900376144,0.0380808456934503,0.04234125633795105,0.02062312760754477,0.052884771491546065,0.04624773353477014,0.049638169554868994
Structural + SVI + HAZUS Class,MLPRegressor,0.015520508584149518,0.04142261046861666,0.036581041454027664,0.03263378772698977,0.0010766364784477083,0.001388676787429985,0.001127721205312964,0.009111818445083247,0.016539701532124546,0.04305988430929594,0.03784048026487357,0.05604729772280315,0.020904093752448984,0.052309159682696976,0.04574683914840956,0.07021356076266116
Structural + SVI + HAZUS Class,Ridge,0.01418696338116208,0.04144196276516184,0.036365962333907834,0.031937478691741204,0.00025527048432675355,0.0014900568286529547,0.001204570914415775,0.0031585853844468647,0.01467326189963303,0.04366997680615148,0.03818916626038012,0.02910908043936733,0.019115758102875264,0.0537182323660539,0.04688931886844213,0.019446830124656977
Structural + HAZUS Class,Ridge,0.014184409348635166,0.04144298740381761,0.036366817328883305,0.031889456106002724,0.00025499036273837175,0.0014900461938773216,0.0012045671795103386,0.0031759652468418037,0.014670209186447796,0.0436709203538912,0.038189871255700746,0.02906712521537791,0.019116473445587544,0.05372051621793267,0.04689143928863088,0.019363451141175547
Structural + HAZUS Class,Elastic Net,0.01412218045531517,0.041486514080676905,0.03640196107989479,0.0298687739703698,0.00024267965340025256,0.0014975538675325666,0.0012119730788345935,0.0021707673716630177,0.014594348619673791,0.04371903820110385,0.03822982818769504,0.026926344228517363,0.019004674027066952,0.05379942943071283,0.04696239141426135,0.016480306156561264
Structural + SVI + HAZUS Class,Elastic Net,0.01412027446084991,0.04148921213638726,0.03640441066217732,0.02974012203804377,0.00024215191801986896,0.0014962697536372738,0.0012106484106245295,0.0021872688462035764,0.014591799030390753,0.043719101909154526,0.038229643121255846,0.02692350827084322,0.019004445363444398,0.05380015885140689,0.046962890028236545,0.01645363656215848
Structural + SVI,Ridge,0.014187059849584982,0.041604190445322035,0.03651986191283771,0.02430959252448654,0.0002399759280458806,0.0014738208044626428,0.001187790572966538,0.002075936346602134,0.01463537254328984,0.04382164428415469,0.038332484423930224,0.02235348793147729,0.019023473891849673,0.0539315005737974,0.047095119373491874,0.011645533394870178
Structural + SVI,Elastic Net,0.014160723096854658,0.041625230927913655,0.0365362362377848,0.02333274657665711,0.00023951549602524192,0.0014800329172717324,0.0011940947358458553,0.001703492716674156,0.014599902452173063,0.043839003787491934,0.0383451331336494,0.021578764860159416,0.01894890794093846,0.053961773727917196,0.0471205230431196,0.010535643835646757
Structural Core,Ridge,0.014210635888209894,0.041652551499577965,0.03656894150854322,0.022044577951267314,0.00024117233970480509,0.0014776193085054834,0.0011912479525604223,0.0016729825296232577,0.014660542919637155,0.043877062420448545,0.038389362896830016,0.01987920350265371,0.018962635502156766,0.053994957872085456,0.04715970790723741,0.009318314549427442
